ModelYear,MfrName,Division,Carline,VerifyMfrCd,International,EngDispl,Cyl,Transmission,CityFE,HwyFE,CombFE,CityUnadjFE,HwyUnadjFE,CombUnadjFE-ConventionalFuel,CityUnrdAdjFE-ConventionalFuel,HwyUnrdAdjFE-ConventionalFuel,CombUnrdAdjFE-ConventionalFuel,Guzzler,AirAspirationMethod,Transmission,Gears,LockupTorqueConverter,TransCreeperGear,DriveSys,DriveDesc,MaxEthanolPercentGasoline,MaxBiodieselPercent,FuelUsage-ConventionalFuel,FuelUsageDesc-ConventionalFuel,AnnualFuel1Cost-ConventionalFuel,IntakeValvesPerCyl,ExhaustValvesPerCyl,CarlineClass,CarlineClassDesc,ReleaseDate,FuelMeteringSysCd,FuelMeteringSysDesc,StopStartSystem,MFRCalculatedGasGuzzlerMPG,FERating,GHGRating,MfrSmogRating,CityCO2,HwyCO2,CombCO2,EstimatedFuelCostin5Years
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Phantom,RRG,International,6.7,12,Auto(S8),12,20,14,14.3,27.5,18.2398,11.7348,19.8951,14.391,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,6,Large Cars,43343,GDI,Spark Ignition Direct Injection,No,18.4,1,1,3,755,445,615,9000
2019,aston martin,Aston Martin Lagonda Ltd,DB11 V12,ASX,International,5.2,12,Auto(S8),15,21,17,18.8306,30.8924,22.8444,15.1397,20.5453,17.1729,No,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),2650,2,2,2,Minicompact Cars,43252,MFI,Multipoint/sequential fuel injection,No,23,3,3,3,579,397,497,6250
2019,Subaru,Subaru,BRZ,FJX,International,2,4,Manual(M6),21,29,24,26.6391,40.8809,31.5917,20.9909,28.6893,23.8737,No,Naturally Aspirated,Manual,6,N,N,R,"2-Wheel Drive, Rear",10,,GPR,Gasoline (Premium Unleaded Required),1900,2,2,2,Minicompact Cars,43315,GDPI,Spark Ignition direct & ported injection,No,31.6,5,5,1,422,309,371,2500
2019,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,HYX,International,2,4,Auto(S6),27,34,30,35.4059,49.3787,40.5723,27.1321,34.0058,29.847,No,Naturally Aspirated,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43174,MFI,Multipoint/sequential fuel injection,No,41.2,7,7,5,329,263,299,-500
2019,Volkswagen Group of,Volkswagen,Jetta,VGA,International,1.4,4,Auto(S8),30,39,34,38.9283,59.4503,46.0874,30.1039,38.9661,33.5362,No,Turbocharged,Semi-Automatic,8,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1100,2,2,4,Compact Cars,43357,GDI,Spark Ignition Direct Injection,Yes,45.6,8,8,7,294,225,262,-1500
2019,Honda,Honda,RIDGELINE FWD,HNX,International,3.5,6,Auto(A6),19,26,22,23.5,37.2997,28.1939,18.7066,26.3877,21.5263,No,Naturally Aspirated,Automatic,6,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1750,2,2,10,Small Pick-up Trucks 2WD,43165,GDI,Spark Ignition Direct Injection,No,28.4,4,4,3,471,335,410,1750
2019,Kia,KIA MOTORS CORPORATION,Sorento AWD,KMX,International,2.4,4,Auto(S6),21,26,23,26.6,37.1,30.4822,20.9627,26.2583,23.055,No,Naturally Aspirated,Semi-Automatic,6,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1650,2,2,31,Small SUV 4WD,43136,GDI,Spark Ignition Direct Injection,No,,5,5,5,427,342,389,1250
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Phantom EWB,RRG,International,6.7,12,Auto(S8),12,20,14,14.3,27.5,18.2398,11.7348,19.8951,14.391,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,6,Large Cars,43343,GDI,Spark Ignition Direct Injection,No,18.4,1,1,3,755,445,615,9000
2019,aston martin,Aston Martin Lagonda Ltd,DB11 V8,ASX,International,4,8,Auto(S8),18,24,20,22.7207,33.8295,26.6603,18.1323,24.1217,20.4132,No,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),2250,2,2,2,Minicompact Cars,43181,MFI,Multipoint/sequential fuel injection,No,27,4,4,3,486,365,431,4250
2019,Subaru,Subaru,BRZ,FJX,International,2,4,Auto(S6),24,33,27,31.3,47.3,36.92,24.2984,32.7237,27.4825,No,Naturally Aspirated,Semi-Automatic,6,Y,N,R,"2-Wheel Drive, Rear",10,,GPR,Gasoline (Premium Unleaded Required),1650,2,2,2,Minicompact Cars,43315,GDPI,Spark Ignition direct & ported injection,No,36.9,6,6,1,365,270,322,1250
2019,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,HYX,International,2,4,Manual(M6),25,33,28,32.4,48.4,38.0621,25.0648,33.4036,28.2369,No,Naturally Aspirated,Manual,6,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1350,2,2,4,Compact Cars,43174,MFI,Multipoint/sequential fuel injection,No,38.7,6,6,5,358,268,317,-250
2019,Volkswagen Group of,Volkswagen,Jetta,VGA,International,1.4,4,Manual(M6),30,40,34,37.3499,59.3,44.8146,29.7537,39.8518,33.583,No,Turbocharged,Manual,6,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1100,2,2,4,Compact Cars,43126,GDI,Spark Ignition Direct Injection,No,44.8,8,8,7,296,222,263,-1500
2019,Honda,Honda,RIDGELINE AWD,HNX,International,3.5,6,Auto(A6),18,25,21,23.0499,34.7997,27.1795,18.3753,24.7589,20.7871,No,Naturally Aspirated,Automatic,6,Y,N,A,All Wheel Drive,10,,G,Gasoline (Regular Unleaded Recommended),1800,2,2,13,Standard Pick-up Trucks 4WD,43165,GDI,Spark Ignition Direct Injection,No,27.4,4,4,3,480,357,424,2000
2019,Kia,KIA MOTORS CORPORATION,Sorento FWD,KMX,International,2.4,4,Auto(S6),22,29,25,28,40.7,32.574,21.9668,28.574,24.518,No,Naturally Aspirated,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1550,2,2,30,Small SUV 2WD,43132,GDI,Spark Ignition Direct Injection,No,,5,5,5,404,312,363,750
2019,Volkswagen Group of,Bugatti,Chiron,VGA,International,8,16,Auto(AM-S7),9,14,11,10.4,18.2,12.885,8.7889,14.1373,10.5921,Guzzler,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,N,A,All Wheel Drive,15,,GPR,Gasoline (Premium Unleaded Required),4100,2,2,1,Two Seaters,43308,MFI,Multipoint/sequential fuel injection,No,13,1,1,1,1010,632,840,13500
2019,aston martin,Aston Martin Lagonda Ltd,Vantage V8,ASX,International,4,8,Auto(S8),18,25,21,23.1719,35.2592,27.3986,18.4652,25.0596,20.9455,No,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),2150,2,2,1,Two Seaters,43252,MFI,Multipoint/sequential fuel injection,No,27,4,4,3,494,364,435,3750
2019,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,HYX,International,1.6,4,Auto(AM7),28,34,30,36.3,49.5,41.25,27.7395,34.0802,30.2742,No,Turbocharged,Automated Manual,7,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43174,GDI,Spark Ignition Direct Injection,No,41.9,7,7,5,323,263,296,-500
2019,Subaru,Subaru,IMPREZA 4-Door,FJX,International,2,4,Manual(M5),24,32,27,30.5,45.4,35.785,23.7377,31.5415,26.7117,No,Naturally Aspirated,Manual,5,N,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1400,2,2,5,Midsize Cars,43252,GDI,Spark Ignition Direct Injection,No,35.8,6,6,6,373,281,331,0
2019,Honda,Honda,FIT,HNX,International,1.5,4,Auto(AV),33,40,36,43.7998,58.3993,49.3517,33,39.8287,36.467,No,Naturally Aspirated,Continuously Variable,1,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1050,2,2,7,Small Station Wagons,43221,GDI,Spark Ignition Direct Injection,No,49.7,8,8,7,267,221,246,-1750
2019,Kia,KIA MOTORS CORPORATION,Sorento AWD,KMX,International,3.3,6,Auto(S8),19,24,21,23.5816,35.6929,27.8313,18.7666,24.0825,20.8363,No,Naturally Aspirated,Semi-Automatic,8,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1800,2,2,31,Small SUV 4WD,43132,GDI,Spark Ignition Direct Injection,No,,4,4,5,475,372,428,2000
2019,Toyota,LEXUS,NX 300h AWD,TYX,International,2.5,4,Auto(AV-S6),33,30,31,43.9739,42.6849,43.3843,32.8164,29.8348,31.4041,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),6,N,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1250,2,2,31,Small SUV 4WD,43254,MFI,Multipoint/sequential fuel injection,Yes,,7,7,7,269,296,281,-750
2019,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,HYX,International,1.6,4,Manual(M6),26,33,29,32.1,47.2,37.4983,26.1663,33.2918,28.9551,No,Turbocharged,Manual,6,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43174,GDI,Spark Ignition Direct Injection,No,38.1,6,6,5,341,268,308,-500
2019,Toyota,TOYOTA,C-HR,TYX,International,2,4,Auto(AV-S7),27,31,29,36,48.8,40.8178,27.0745,31.2658,28.8126,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43242,MFI,Multipoint/sequential fuel injection,No,41.3,6,6,3,324,281,305,-500
2019,Honda,Honda,FIT,HNX,International,1.5,4,Auto(AV-S7),31,36,33,40.7998,52.8496,45.4645,31,36.1329,33,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1150,2,2,7,Small Station Wagons,43221,GDI,Spark Ignition Direct Injection,No,45.8,8,8,7,285,244,267,-1250
2019,Subaru,Subaru,IMPREZA 5-Door,FJX,International,2,4,Manual(M5),24,31,26,30.3,44.4,35.352,23.5971,30.9153,26.4104,No,Naturally Aspirated,Manual,5,N,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1450,2,2,7,Small Station Wagons,43252,GDI,Spark Ignition Direct Injection,No,35.4,5,5,6,375,286,335,250
2019,Kia,KIA MOTORS CORPORATION,Sedona,KMX,International,3.3,6,Auto(S8),18,24,21,23.1958,35.1298,27.3816,18.4828,23.7191,20.5215,No,Naturally Aspirated,Semi-Automatic,8,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1800,2,2,20,"Special Purpose Vehicle, minivan 2WD",43146,GDI,Spark Ignition Direct Injection,No,,4,4,5,485,377,437,2000
